IssueID,URL,Title,State,Description,Author,Author Username,Assignee,Assignee Username,Confidential,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Labels,Time Estimate,Time Spent
3,http://s6igitlab.gel.usherbrooke.ca/degel/degel-backend/issues/3,Demande au departement pour un callback de modification de l'horaire,Open,,Julien Larochelle,Larochelle000,Julien Larochelle,Larochelle000,No,,2018-05-22 17:32,2018-05-22 18:29,,Remise 1,Integration Horarius,0,0
4,http://s6igitlab.gel.usherbrooke.ca/degel/degel-backend/issues/4,Avoir les droits d'acces a l'horaire,Open,,Julien Larochelle,Larochelle000,Julien Larochelle,Larochelle000,No,,2018-05-22 17:33,2018-05-22 18:29,,Remise 1,Integration Horarius,0,0
5,http://s6igitlab.gel.usherbrooke.ca/degel/degel-backend/issues/5,Etre capable de gerer le callback de l'horaire,Open,,Julien Larochelle,Larochelle000,,,No,,2018-05-22 17:33,2018-05-22 17:39,,,Integration Horarius,0,0
6,http://s6igitlab.gel.usherbrooke.ca/degel/degel-backend/issues/6,Definir API horaire,Open,,Julien Larochelle,Larochelle000,,,No,,2018-05-22 17:34,2018-05-22 17:39,,,Horaire,0,0
7,http://s6igitlab.gel.usherbrooke.ca/degel/degel-backend/issues/7,Definir la base de donnees de l'horaire,Open,,Julien Larochelle,Larochelle000,,,No,,2018-05-22 17:34,2018-05-22 17:39,,,Horaire,0,0
8,http://s6igitlab.gel.usherbrooke.ca/degel/degel-backend/issues/8,Construire le client horarius,Open,,Julien Larochelle,Larochelle000,,,No,,2018-05-22 17:35,2018-05-22 18:28,,,Horaire,0,0
11,http://s6igitlab.gel.usherbrooke.ca/degel/degel-backend/issues/11,Creer le callback de notification,Open,,Julien Larochelle,Larochelle000,,,No,,2018-05-22 17:38,2018-05-22 17:40,,,Notification,0,0
12,http://s6igitlab.gel.usherbrooke.ca/degel/degel-backend/issues/12,Communication avec CAS,Open,,Julien Larochelle,Larochelle000,Julien Larochelle,Larochelle000,No,,2018-05-22 17:41,2018-05-22 18:27,,Remise 1,Authentification,0,0
13,http://s6igitlab.gel.usherbrooke.ca/degel/degel-backend/issues/13,Ajouter le midleware d'authenfication,Open,,Julien Larochelle,Larochelle000,Donavan ,DonavanMartin,No,,2018-05-22 17:41,2018-05-22 18:27,,Remise 1,Authentification,0,0
14,http://s6igitlab.gel.usherbrooke.ca/degel/degel-backend/issues/14,Construire l'API d'authenfication,Open,,Julien Larochelle,Larochelle000,Donavan ,DonavanMartin,No,,2018-05-22 17:42,2018-05-22 18:27,,Remise 1,Authentification,0,0
15,http://s6igitlab.gel.usherbrooke.ca/degel/degel-backend/issues/15,Definir la base de donnees d'authentification,Open,,Julien Larochelle,Larochelle000,Donavan ,DonavanMartin,No,,2018-05-22 17:42,2018-05-22 18:26,,Remise 1,Authentification,0,0
16,http://s6igitlab.gel.usherbrooke.ca/degel/degel-backend/issues/16,Definir l'API,Open,,Julien Larochelle,Larochelle000,Donavan ,DonavanMartin,No,,2018-05-22 17:42,2018-05-22 18:26,,Remise 1,Authentification,0,0
17,http://s6igitlab.gel.usherbrooke.ca/degel/degel-backend/issues/17,Setup le gitlab,Open,,Julien Larochelle,Larochelle000,Emile Fugulin,sytten,No,,2018-05-22 17:50,2018-05-22 19:46,,Remise 1,devops,28800,18000
18,http://s6igitlab.gel.usherbrooke.ca/degel/degel-backend/issues/18,Setup dockfile du service,Open,,Julien Larochelle,Larochelle000,Emile Fugulin,sytten,No,,2018-05-22 17:51,2018-05-22 19:51,,Remise 1,devops,10800,3600
19,http://s6igitlab.gel.usherbrooke.ca/degel/degel-backend/issues/19,Projet de base du backend,Open,,Julien Larochelle,Larochelle000,Emile Fugulin,sytten,No,,2018-05-22 17:51,2018-05-22 19:16,,Remise 1,devops,28800,21600
20,http://s6igitlab.gel.usherbrooke.ca/degel/degel-backend/issues/20,Monter le CI,Open,,Julien Larochelle,Larochelle000,Julien Larochelle,Larochelle000,No,,2018-05-22 17:51,2018-05-22 18:19,,Remise 1,devops,0,0
21,http://s6igitlab.gel.usherbrooke.ca/degel/degel-backend/issues/21,Monter le CD,Open,,Julien Larochelle,Larochelle000,Emile Fugulin,sytten,No,,2018-05-22 17:51,2018-05-22 18:19,,Remise 1,devops,0,0
22,http://s6igitlab.gel.usherbrooke.ca/degel/degel-backend/issues/22,Passer le gitlab au https,Open,,Julien Larochelle,Larochelle000,,,No,,2018-05-22 17:52,2018-05-22 17:52,,,devops,0,0
23,http://s6igitlab.gel.usherbrooke.ca/degel/degel-backend/issues/23,Passer le service au HTTPS,Open,,Julien Larochelle,Larochelle000,,,No,,2018-05-22 17:52,2018-05-22 17:52,,,devops,0,0
24,http://s6igitlab.gel.usherbrooke.ca/degel/degel-backend/issues/24,Ouvrir les ports du serveur,Open,,Julien Larochelle,Larochelle000,Emile Fugulin,sytten,No,,2018-05-22 17:54,2018-05-22 18:18,,Remise 1,Gestion,0,0
25,http://s6igitlab.gel.usherbrooke.ca/degel/degel-backend/issues/25,Suivi license gitlab,Open,,Julien Larochelle,Larochelle000,Emile Fugulin,sytten,No,,2018-05-22 17:54,2018-05-22 18:18,,Remise 1,Gestion,0,0
26,http://s6igitlab.gel.usherbrooke.ca/degel/degel-backend/issues/26,Faire le pont temporaire entre le callback d'horaire et le service mobile,Open,,Julien Larochelle,Larochelle000,,,No,,2018-05-22 18:14,2018-05-22 18:15,,,"Integration Horarius,Notification",0,0
27,http://s6igitlab.gel.usherbrooke.ca/degel/degel-backend/issues/27,S'integrer avec l'equipe de notification,Open,,Julien Larochelle,Larochelle000,,,No,,2018-05-22 18:14,2018-05-22 18:15,,,Notification,0,0
28,http://s6igitlab.gel.usherbrooke.ca/degel/degel-backend/issues/28,Definir l'API avec l'equipe de notifications,Open,,Julien Larochelle,Larochelle000,Philippe Girard,philippegirard,No,,2018-05-22 18:17,2018-05-22 18:27,,Remise 1,Notification,0,0
